Nº;RED;NIVEL;IPRESS;MES;AÑO;INDICADOR;SUB INDICADOR;NUMERADOR;DENOMINADOR
19906;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19907;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19908;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19909;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;47;1
19910;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;45;1
19911;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19912;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;21;1
19913;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;26;1
19914;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19915;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;29;1
19916;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;55;1
19917;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19918;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;389;3
19919;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;325;3
19920;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19921;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;180;1
19922;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;140;1
19923;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19924;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;39;1
19925;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;23;1
19926;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19927;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;16;1
19928;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;25;1
19929;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19930;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ENERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;14;1
19931;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19932;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MARZO;2024;B. INDICADORES DE EFICIENCIA;12 Rendimiento de Sala de Operaciones;0;0
19933;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19934;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19935;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19936;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);249;1
19937;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);252;1
19938;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19939;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;1
19940;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;1
19941;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19942;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19943;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19944;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19945;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);22;1
19946;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);14;1
19947;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19948;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);10;1
19949;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);13;1
19950;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19951;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19952;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19953;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19954;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);208;2
19955;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);185;2
19956;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19957;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);180;1
19958;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);140;1
19959;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19960;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);39;1
19961;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);23;1
19962;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19963;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);16;1
19964;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);25;1
19965;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19966;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ENERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);14;1
19967;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19968;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MARZO;2024;B. INDICADORES DE EFICIENCIA;13 Rendimiento de Sala de Operaciones  de Emergencia);0;0
19969;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19970;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19971;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19972;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);109;2
19973;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);135;2
19974;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19975;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);18;1
19976;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);1;1
19977;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19978;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19979;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19980;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19981;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);25;1
19982;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);31;1
19983;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19984;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);11;1
19985;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);13;1
19986;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19987;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);29;1
19988;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);55;1
19989;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19990;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);181;1
19991;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);140;1
19992;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19993;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19994;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19995;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19996;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19997;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19998;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
19999;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;1
20000;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;1
20001;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
20002;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ENERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;1
20003;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
20004;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MARZO;2024;B. INDICADORES DE EFICIENCIA;14  Rendimiento de Sala de Operaciones (para Salas de Cirugías Electivas);0;0
20005;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);33;651
20006;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);42;697
20007;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20008;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);141;4,010
20009;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);148;4,281
20010;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20011;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);74;753
20012;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);74;690
20013;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20014;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);59;949
20015;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);71;902
20016;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20017;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);135;996
20018;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);135;971
20019;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20020;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);254;1,076
20021;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);200;1,337
20022;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20023;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);244;0
20024;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);259;0
20025;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20026;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);176;5,426
20027;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);184;7,461
20028;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20029;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);232;4,712
20030;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);242;5,204
20031;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20032;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);20;951
20033;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);33;787
20034;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20035;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);80;1,078
20036;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);79;1,706
20037;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20038;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;ENERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);60;779
20039;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;FEBRERO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20040;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. SIHUAS;MARZO;2024;B. INDICADORES DE EFICIENCIA;15  Grado de Resolutividad del Establecimiento de Salud    (Factor: 100);0;0
20041;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2024;C. INDICADORES DE CALIDAD;16 Porcentaje de Infecciones Intrahospitalarias.;0;28
20042;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2024;C. INDICADORES DE CALIDAD;16 Porcentaje de Infecciones Intrahospitalarias.;0;25
20043;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2024;C. INDICADORES DE CALIDAD;16 Porcentaje de Infecciones Intrahospitalarias.;0;0
20044;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2024;C. INDICADORES DE CALIDAD;16 Porcentaje de Infecciones Intrahospitalarias.;0;673
20045;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2024;C. INDICADORES DE CALIDAD;16 Porcentaje de Infecciones Intrahospitalarias.;1;709
20046;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2024;C. INDICADORES DE CALIDAD;16 Porcentaje de Infecciones Intrahospitalarias.;0;0
